Status,Fiber Distance(m),Rx Power(dBm),maintenance_required
active,1792,-23.7,0
active,905,-21.1,0
active,704,-18,0
active,1438,-18.5,0
active,788,-19.1,0
active,2171,-27.4,1
active,2039,-20.9,0
active,1803,-20,0
active,1540,-26.7,0
active,736,-19.7,0
active,1744,-20.3,0
active,2033,-16.9,0
active,1469,-18.6,0
active,807,-25.3,0
active,657,-24.3,0
active,2130,-23.4,0
active,2362,-20.5,0
active,2488,-26.9,0
active,2347,-23.5,0
active,2398,-21.1,0
active,2439,-19.6,0
active,2305,-26.7,0
active,2380,-26,0
active,2252,-24.6,0
active,2213,-21.8,0
active,2332,-30.4,1
active,2324,-23.9,0
active,2330,-16.6,0
active,1278,-18.9,0
active,1781,-19,0
active,1508,-26.1,0
active,1717,-29.5,1
active,1633,-30.4,1
active,1824,-22.2,0
active,1709,-22.7,0
active,1483,-23.2,0
active,1505,-21.8,0
active,1506,-21.3,0
active,1015,-25.2,0
active,1297,-23.8,0
active,1574,-18.9,0
active,2010,-17.2,0
active,1824,-19.1,0
active,2097,-24.6,0
active,1641,-21,0
active,2066,-19.5,0
active,2233,-24.1,0
active,1877,-29.9,1
active,2175,-22,0
active,2087,-24.6,0
active,2023,-25.6,0
active,2082,-19.4,0
active,2118,-21.4,0
active,2052,-30.4,1
active,2025,-20.8,0
active,1666,-21.6,0
active,1643,-25.5,0
active,1712,-18.7,0
active,1437,-15.7,0
active,1704,-26.3,0
active,1769,-20.2,0
active,1223,-22.6,0
active,1534,-23.6,0
active,1416,-23.4,0
active,1516,-21.1,0
active,1326,-22,0
active,1293,-17.9,0
active,1278,-18.6,0
active,1560,-17.3,0
active,1276,-19.3,0
active,2001,-23.2,0
active,1807,-22,0
active,1826,-21.7,0
active,1317,-20.6,0
active,2078,-24.4,0
active,1837,-19.5,0
active,1759,-21.8,0
active,1441,-25.3,0
active,1356,-26.1,0
active,1936,-22.2,0
active,1286,-15.9,0
active,1358,-20.7,0
active,1477,-21.6,0
active,1825,-23,0
active,1781,-21.7,0
active,1864,-30.9,1
active,1896,-31.5,1
active,1826,-23.8,0
active,1886,-27.4,1
active,1852,-23.2,0
active,1752,-28.8,1
active,1773,-27.4,1
active,1958,-21.7,0
active,1829,-23.8,0
active,1861,-21.1,0
active,1980,-26.1,0
active,1413,-18.8,0
active,1375,-18.8,0
active,1242,-25.2,0
active,1450,-27.6,1
active,1331,-24.4,0
active,1340,-20.4,0
active,1360,-24.8,0
active,844,-19.7,0
active,924,-25.5,0
active,1426,-26.7,0
active,1622,-22.4,0
active,1547,-24.9,0
active,838,-18.6,0
active,1280,-19.2,0
active,1207,-22.1,0
active,1283,-18.4,0
active,1823,-22.5,0
active,1351,-25.8,0
active,1464,-23.8,0
active,1310,-30.4,1
active,1277,-20.6,0
active,1030,-20.7,0
active,699,-20.4,0
active,1029,-27.6,1
active,956,-21.7,0
active,903,-22.5,0
